# 2 theta (degrees),counts per second
11,1
12,1
14,1
16,4
17,6
18,22
18.5,36
19,45
19.5,55
20,60
20.5,65
21,70
21.5,78
22,175
22.5,160
23,150
23.5,140
24,150
24.5,155
25,145
25.5,135
26,130
28,95
30,90
32,80
34,70
35,75
36,80
37,72
38,58
39,95
39.5,350
40,470
40.5,220
41,70
42,74
43,85
43.5,145
44,640
44.5,1800
45,900
45.5,85
46,52
48,38
52,31
54,24
56,18
58,20
60,22
62,18
64,14
66,15
68,9
70,15
72,10
74,12
76,11
78,14
80,10
82,8
84,10
86,1
86.5,42
87,55
87.5,25
88,12
92,11
94,11
96,12
98,16
98.5,95
99,240
99.5,250
100,77
101,14
102,13
104,12
106,10
108,12
110,12
112,8
114,10
116,11
118,11
120,11
