# 2 theta (degrees), counts per second
11,2
13,8
15,12
17,12
19,13
21,15
23,13
24,13
25,15
27,15
27.33,28
27.66,47
28,100
28.33,130
28.66,75
29,40
30,35
30.33,44
30.66,100
31,230
31.33,540
31.5,450
32,110
33,25
34,22
36,16
38,17
40,15
42,12
44,11
46,12
48,10
50,9
52,12
54,15
56,12
58,11
60,10
62,9
64,14
64.5,10
65,22
65.5,150
66,175
66.5,75
67,12
68,9
70,7
72,6
74,6
76,6
78,7
80,5
82,7
84,6
86,7
88,6
90,6
92,6
94,7
96,9
98,4
100,2
102,3
104,3
106,6
108,4
109,15
109.5,33
110,18
110.5,7
111,4
113,6
115,7
117,8
