# Student data Zeeman effect,
# Pixel posn (pixels), # Pixel value V/ counts per second #
41,3.64
42,3.45
43,3.5
44,3.59
45,3.55
46,3.41
47,3.59
48,4.09
49,3.68
50,4
51,3.95
52,4.05
53,4.14
54,3.91
55,4
56,3.95
57,4.09
58,3.91
59,3.82
60,3.86
61,3.86
62,4.09
63,4.14
64,4.09
65,4.23
66,5.09
67,6.05
68,7.68
69,10.55
70,13.68
71,16.09
72,17.14
73,17.27
74,15.5
75,12.95
76,10.23
77,8.23
78,7
79,6.09
80,5.27
81,4.68
82,4.5
83,4.23
84,4.05
85,4.09
86,3.91
87,3.95
88,3.95
89,3.95
90,4
91,4.09
92,4.18
93,4.09
94,4.05
95,4.14
96,4
97,3.77
98,3.82
99,3.82
100,3.73
101,3.73
102,3.68
103,3.36
104,3.45
105,3.45
106,3.36
107,3.68
108,3.32
109,3.5
110,3.41
